match_id,opponent_team,batting_team,bowling_team,batting_position,total_runs,balls_played,balls_bowled,dot_balls,wickets_taken,dismissed,dismissal_kind,fours,sixes,batting_strike_rate,bowling_economy,runs_conceded
1422121,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,2,2,4,24,8,1,True,run out,0,0,50.0,4.75,19
1422128,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,2,47,22,24,6,1,True,bowled,2,5,213.64,10.0,40
1422134,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,2,85,39,24,11,1,True,caught,7,7,217.95,7.25,29
1426260,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,3,27,20,24,5,1,True,caught,3,2,135.0,7.5,30
1426266,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,2,6,6,24,7,1,True,caught,1,0,100.0,4.25,17
1426269,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,2,109,56,24,11,2,True,bowled,13,6,194.64,7.5,30
1426274,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,2,10,15,24,9,2,True,caught,2,0,66.67,8.5,34
1426280,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,2,71,32,24,12,1,True,caught,9,4,221.88,6.0,24
1426285,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,2,15,10,24,9,1,True,caught,3,0,150.0,6.0,24
1426289,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,2,8,8,24,11,2,True,bowled,0,1,100.0,5.5,22
1426292,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,2,81,39,24,8,1,True,caught,6,7,207.69,5.5,22
1426298,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,3,0,1,18,10,1,True,bowled,0,0,0.0,7.0,21
1426309,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,2,21,16,24,7,1,True,caught,4,0,131.25,10.0,40
1426312,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,2,6,2,24,8,1,True,caught,0,1,300.0,4.0,16
