match_id,opponent_team,batting_team,bowling_team,batting_position,total_runs,balls_played,balls_bowled,dot_balls,wickets_taken,dismissed,dismissal_kind,fours,sixes,batting_strike_rate,bowling_economy,runs_conceded
1175366,Royal Challengers Bangalore,,Sunrisers Hyderabad,0,0,0,24,15,4,False,,0,0,0.0,2.75,11
1175371,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,7,17,9,24,5,2,False,,2,1,188.89,5.25,21
1178394,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,7,11,14,24,12,1,True,caught,0,1,78.57,3.25,13
1178397,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,4,12,7,23,5,0,True,run out,0,0,171.43,10.96,42
1178423,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,4,20,10,18,7,0,True,bowled,0,2,200.0,9.33,28
1178426,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,7,37,22,24,9,1,True,caught,2,3,168.18,6.0,24
1178429,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,7,4,3,14,2,0,True,caught,1,0,133.33,11.14,26
1181766,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,6,20,12,24,10,0,True,caught,3,1,166.67,7.25,29
