match_id,opponent_team,batting_team,bowling_team,batting_position,total_runs,balls_played,balls_bowled,dot_balls,wickets_taken,dismissed,dismissal_kind,fours,sixes,batting_strike_rate,bowling_economy,runs_conceded
1175359,Rajasthan Royals,,Kings XI Punjab,0,0,0,24,7,2,False,,0,0,0.0,13.0,52
1175368,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,3,20,10,14,6,4,True,lbw,3,1,200.0,4.71,11
1178393,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,7,0,1,24,6,0,False,,0,0,0.0,8.75,35
1178397,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,6,5,3,24,6,0,False,,0,0,166.67,7.5,30
1178399,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,5,8,3,24,7,1,True,caught,2,0,266.67,13.5,54
1178403,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,5,1,3,18,4,0,True,lbw,0,0,33.33,10.33,31
1178412,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,6,0,4,22,8,0,True,caught and bowled,0,0,0.0,9.27,34
1178427,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,6,55,24,24,6,0,False,,7,2,229.17,10.25,41
1178430,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,6,6,7,24,8,3,False,,1,0,85.71,8.75,35
