match_id,opponent_team,batting_team,bowling_team,batting_position,total_runs,balls_played,balls_bowled,dot_balls,wickets_taken,dismissed,dismissal_kind,fours,sixes,batting_strike_rate,bowling_economy,runs_conceded
1175358,Delhi Capitals,,Mumbai Indians,0,0,0,24,7,1,False,,0,0,0.0,10.0,40
1175362,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,10,0,1,24,13,3,False,,0,0,0.0,5.0,20
1175364,Kings XI Punjab,,Mumbai Indians,0,0,0,22,12,0,False,,0,0,0.0,6.27,23
1175370,Chennai Super Kings,,Mumbai Indians,0,0,0,24,11,0,False,,0,0,0.0,6.75,27
1178394,Sunrisers Hyderabad,,Mumbai Indians,0,0,0,18,9,1,False,,0,0,0.0,5.33,16
1178399,Kings XI Punjab,,Mumbai Indians,0,0,0,24,8,1,False,,0,0,0.0,9.5,38
1178402,Rajasthan Royals,,Mumbai Indians,0,0,0,24,11,2,False,,0,0,0.0,5.75,23
1178406,Royal Challengers Bangalore,,Mumbai Indians,0,0,0,24,12,0,False,,0,0,0.0,5.5,22
1178409,Delhi Capitals,,Mumbai Indians,0,0,0,24,12,2,False,,0,0,0.0,4.5,18
1178411,Rajasthan Royals,,Mumbai Indians,0,0,0,24,7,1,False,,0,0,0.0,5.25,21
1178419,Chennai Super Kings,,Mumbai Indians,0,0,0,18,11,2,False,,0,0,0.0,3.33,10
1178422,Kolkata Knight Riders,,Mumbai Indians,0,0,0,24,5,0,False,,0,0,0.0,11.0,44
1178426,Sunrisers Hyderabad,,Mumbai Indians,0,0,0,28,10,3,False,,0,0,0.0,8.36,39
1178431,Kolkata Knight Riders,,Mumbai Indians,0,0,0,24,12,2,False,,0,0,0.0,7.75,31
1181764,Chennai Super Kings,,Mumbai Indians,0,0,0,24,6,0,False,,0,0,0.0,7.75,31
1181768,Chennai Super Kings,,Mumbai Indians,0,0,0,24,11,2,False,,0,0,0.0,3.5,14
